"","V1"
"1001",0.858876
"1002",0.999127
"1003",0.992947
"1004",0.993897
"1005",0.899269
"1006",0.927009
"1007",0.998252
"1008",0.979972
"1009",0.965189
"1010",0.993467
"1011",0.997325
"1012",0.950063
"1013",0.952765
"1014",0.987523
"1015",0.996218
"1016",0.997372
"1017",0.977354
"1018",0.994459
"1019",0.989439
"1020",0.995442
"1021",0.971007
"1022",0.759235
"1023",0.985021
"1024",0.978329
"1025",0.97506
"1026",0.994529
"1027",0.985076
"1028",0.926735
"1029",0.91124
"1030",0.936333
"1031",0.982529
"1032",0.996291
"1033",0.977602
"1034",0.928601
"1035",0.920039
"1036",0.976378
"1037",0.969338
"1038",0.951225
"1039",0.973756
"1040",0.780912
"1041",0.819237
"1042",0.995754
"1043",0.993531
"1044",0.82803
"1045",0.983775
"1046",0.975371
"1047",0.993771
"1048",0.91107
"1049",0.947014
"1050",0.992953
"1051",0.995321
"1052",0.923312
"1053",0.984368
"1054",0.996884
"1055",0.978663
"1056",0.997485
"1057",0.985021
"1058",0.994447
"1059",0.993641
"1060",0.928065
"1061",0.910267
"1062",0.99304
"1063",0.968409
"1064",0.982792
"1065",0.973915
"1066",0.998028
"1067",0.99223
"1068",0.9804
"1069",0.996449
"1070",0.98264
"1071",0.992331
"1072",0.984603
"1073",0.981162
"1074",0.995096
"1075",0.97532
"1076",0.980513
"1077",0.987771
"1078",0.914149
"1079",0.983548
"1080",0.994262
"1081",0.982501
"1082",0.982501
"1083",0.908913
"1084",0.995734
"1085",0.975145
"1086",0.961104
"1087",0.993578
"1088",0.982529
"1089",0.987954
"1090",0.967009
"1091",0.982858
"1092",0.990698
"1093",0.997229
"1094",0.97715
"1095",0.991586
"1096",0.964147
"1097",0.988343
"1098",0.950438
"1099",0.977473
"1100",0.796901
"1101",0.952269
"1102",0.9992
"1103",0.967576
"1104",0.990581
"1105",0.96576
"1106",0.998858
"1107",0.981424
"1108",0.991013
"1109",0.992508
"1110",0.998863
"1111",0.972379
"1112",0.99303
"1113",0.968085
"1114",0.983288
"1115",0.986461
"1116",0.980898
"1117",0.939311
"1118",0.90174
"1119",0.8977
"1120",0.96342
"1121",0.998611
"1122",0.972532
"1123",0.977981
"1124",0.992156
"1125",0.955491
"1126",0.971779
"1127",0.984155
"1128",0.987055
"1129",0.987256
"1130",0.991577
"1131",0.994062
"1132",0.989967
"1133",0.771811
"1134",0.935386
"1135",0.97018
"1136",0.849526
"1137",0.985659
"1138",0.984556
"1139",0.991579
"1140",0.997303
"1141",0.92995
"1142",0.988585
"1143",0.937295
"1144",0.947351
"1145",0.986158
"1146",0.994141
"1147",0.848885
"1148",0.990866
"1149",0.999055
"1150",0.93417
"1151",0.997862
"1152",0.99037
"1153",0.989367
"1154",0.983281
"1155",0.988996
"1156",0.971866
"1157",0.999655
"1158",0.949854
"1159",0.943555
"1160",0.997174
"1161",0.956651
"1162",0.931946
"1163",0.993337
"1164",0.994594
"1165",0.933953
"1166",0.996358
"1167",0.986696
"1168",0.969428
"1169",0.968127
"1170",0.992845
"1171",0.996195
"1172",0.987871
"1173",0.915663
"1174",0.981135
"1175",0.918007
"1176",0.999785
"1177",0.887486
"1178",0.913939
"1179",0.994985
"1180",0.994124
"1181",0.997862
"1182",0.96055
"1183",0.987329
"1184",0.975854
"1185",0.998326
"1186",0.985723
"1187",0.999135
"1188",0.978505
"1189",0.930949
"1190",0.953282
"1191",0.878238
"1192",0.931437
"1193",0.965565
"1194",0.999762
"1195",0.927856
"1196",0.989588
"1197",0.975228
"1198",0.920039
"1199",0.995153
"1200",0.93831
"1201",0.958512
"1202",0.970375
"1203",0.996623
"1204",0.990847
"1205",0.9972
"1206",0.964251
"1207",0.873754
"1208",0.990972
"1209",0.956418
"1210",0.99346
"1211",0.982438
"1212",0.982845
"1213",0.998865
"1214",0.974116
"1215",0.979712
"1216",0.9786
"1217",0.76523
"1218",0.903116
"1219",0.989837
"1220",0.975311
"1221",0.972662
"1222",0.958512
"1223",0.983718
"1224",0.977564
"1225",0.912348
"1226",0.999433
"1227",0.930662
"1228",0.984603
"1229",0.990797
"1230",0.989936
"1231",0.9959
"1232",0.747446
"1233",0.986922
"1234",0.989724
"1235",0.949092
"1236",0.984146
"1237",0.984222
"1238",0.973715
"1239",0.991121
"1240",0.984595
"1241",0.973077
"1242",0.913245
"1243",0.977783
"1244",0.934752
"1245",0.994524
"1246",0.963127
"1247",0.977013
"1248",0.987472
"1249",0.973369
"1250",0.983775
"1251",0.991313
"1252",0.998019
"1253",0.932602
"1254",0.943769
"1255",0.999654
"1256",0.998201
"1257",0.802978
"1258",0.884679
"1259",0.957629
"1260",0.99076
"1261",0.922937
"1262",0.994839
"1263",0.973083
"1264",0.954797
"1265",0.999341
"1266",0.876161
"1267",0.971822
"1268",0.985444
"1269",0.996623
"1270",0.995091
"1271",0.975745
"1272",0.994743
"1273",0.896899
"1274",0.99092
"1275",0.984892
"1276",0.962456
"1277",0.929699
"1278",0.919155
"1279",0.951141
"1280",0.993358
"1281",0.975871
"1282",0.989875
"1283",0.757116
"1284",0.982531
"1285",0.990003
"1286",0.919535
"1287",0.997862
"1288",0.990257
"1289",0.995165
"1290",0.96701
"1291",0.989709
"1292",0.994516
"1293",0.998878
"1294",0.9992
"1295",0.998569
"1296",0.972041
"1297",0.990455
"1298",0.939311
"1299",0.978578
"1300",0.75295
"1301",0.971748
"1302",0.786184
"1303",0.83859
"1304",0.909024
"1305",0.909691
"1306",0.972866
"1307",0.982568
"1308",0.996339
"1309",0.946077
"1310",0.994212
"1311",0.935571
"1312",0.997341
"1313",0.994397
"1314",0.999903
"1315",0.987568
"1316",0.929714
"1317",0.997934
"1318",0.987268
"1319",0.978236
"1320",0.914512
"1321",0.983532
"1322",0.99584
"1323",0.99549
"1324",0.994127
"1325",0.974375
"1326",0.988918
"1327",0.939435
"1328",0.994948
"1329",0.964499
"1330",0.984848
"1331",0.748809
"1332",0.987457
"1333",0.919894
"1334",0.999395
"1335",0.973912
"1336",0.953542
"1337",0.982845
"1338",0.935783
"1339",0.987022
