"","V1"
"854",0.782334
"855",0.364253
"856",0.610122
"857",0.529646
"858",0.588517
"859",0.164469
"860",0.806947
"861",0.741497
"862",0.510139
"863",0.426449
"864",0.194141
"865",0.949473
"866",0.193682
"867",0.439804
"868",0.345794
"869",0.14712
"870",0.592268
"871",0.669797
"872",0.45037
"873",0.425771
"874",0.366286
"875",0.473798
"876",0.372082
"877",0.4765
"878",0.707507
"879",0.27445
"880",0.596185
"881",0.34216
"882",0.480707
"883",0.390144
"884",0.600062
"885",0.313053
"886",0.480699
"887",0.107601
"888",0.441816
"889",0.567834
"890",0.387264
"891",0.93332
"892",0.628225
"893",0.601374
"894",0.883873
"895",0.306051
"896",0.437747
"897",0.499054
"898",0.325848
"899",0.744495
"900",0.24619
"901",0.420552
"902",0.196231
"903",0.496528
"904",0.393477
"905",0.61441
"906",0.457317
"907",0.460006
"908",0.389858
"909",0.399321
"910",0.317239
"911",0.463898
"912",0.938538
"913",0.405825
"914",0.39332
"915",0.224227
"916",0.465146
"917",0.415819
"918",0.38231
"919",0.479194
"920",0.486037
"921",0.465769
"922",0.503552
"923",0.633627
"924",0.589182
"925",0.556833
"926",0.442213
"927",0.161273
"928",0.56954
"929",0.376786
"930",0.549712
"931",0.929643
"932",0.292242
"933",0.16812
"934",0.271559
"935",0.346938
"936",0.903394
"937",0.313047
"938",0.50323
"939",0.760563
"940",0.803029
"941",0.179472
"942",0.893016
"943",0.857934
"944",0.462965
"945",0.473344
"946",0.816152
"947",0.407953
"948",0.561914
"949",0.599487
"950",0.613644
"951",0.3196
"952",0.571744
"953",0.91321
"954",0.155678
"955",0.273678
"956",0.764305
"957",0.259847
"958",0.439804
"959",0.887099
"960",0.318425
"961",0.892692
"962",0.495819
"963",0.262152
"964",0.37749
"965",0.34324
"966",0.938307
"967",0.725533
"968",0.476127
"969",0.321304
"970",0.228186
"971",0.406643
"972",0.767575
"973",0.99741
"974",0.328531
"975",0.399321
"976",0.71799
"977",0.417564
"978",0.300168
"979",0.550856
"980",0.572901
"981",0.369541
"982",0.288152
"983",0.388512
"984",0.242341
"985",0.808915
"986",0.938538
"987",0.33573
"988",0.308129
"989",0.942122
"990",0.891886
"991",0.224648
"992",0.224648
"993",0.482134
"994",0.53111
"995",0.68357
"996",0.906119
"997",0.315113
"998",0.487989
"999",0.475394
"1000",0.263884
"1001",0.616606
"1002",0.523812
"1003",0.52193
"1004",0.530512
"1005",0.518033
"1006",0.105221
"1007",0.723107
"1008",0.662492
"1009",0.256547
"1010",0.303112
"1011",0.325527
"1012",0.264001
"1013",0.566279
"1014",0.398274
"1015",0.395777
"1016",0.714892
"1017",0.725376
"1018",0.40516
"1019",0.528081
"1020",0.57034
"1021",0.454658
"1022",0.324903
"1023",0.509223
"1024",0.181306
"1025",0.233601
"1026",0.232456
"1027",0.692805
"1028",0.363349
"1029",0.133275
"1030",0.541774
"1031",0.287813
"1032",0.409828
"1033",0.500273
"1034",0.292428
"1035",0.408956
"1036",0.746546
"1037",0.362406
"1038",0.784763
"1039",0.441931
"1040",0.292047
"1041",0.872226
"1042",0.224648
"1043",0.202483
"1044",0.0542021
"1045",0.308328
"1046",0.394048
"1047",0.378327
"1048",0.821347
"1049",0.661718
"1050",0.708715
"1051",0.495819
"1052",0.189536
"1053",0.288095
"1054",0.164897
"1055",0.597977
"1056",0.336878
"1057",0.509223
"1058",0.94041
"1059",0.943905
"1060",0.388584
"1061",0.29671
"1062",0.766718
"1063",0.508959
"1064",0.257394
"1065",0.782334
"1066",0.886757
"1067",0.780753
"1068",0.536749
"1069",0.737029
"1070",0.621293
"1071",0.576659
"1072",0.507189
"1073",0.508959
"1074",0.65489
"1075",0.385771
"1076",0.324294
"1077",0.392019
"1078",0.248845
"1079",0.314848
"1080",0.654045
"1081",0.770363
"1082",0.770363
"1083",0.181706
"1084",0.299734
"1085",0.370493
"1086",0.275712
"1087",0.69297
"1088",0.287813
"1089",0.351165
"1090",0.398612
"1091",0.423061
"1092",0.481346
"1093",0.538419
"1094",0.447355
"1095",0.919027
"1096",0.398646
"1097",0.395239
"1098",0.363358
"1099",0.360889
"1100",0.862655
"1101",0.423772
"1102",0.511443
"1103",0.938538
"1104",0.407674
"1105",0.466407
"1106",0.711412
"1107",0.991852
"1108",0.290276
"1109",0.36186
"1110",0.500166
"1111",0.440279
"1112",0.414755
"1113",0.623363
"1114",0.841008
"1115",0.973875
"1116",0.450112
"1117",0.818633
"1118",0.722049
"1119",0.293912
"1120",0.658127
"1121",0.932173
"1122",0.621186
"1123",0.635025
"1124",0.275202
"1125",0.785682
"1126",0.376106
"1127",0.609155
"1128",0.354584
"1129",0.93099
"1130",0.548044
"1131",0.359711
"1132",0.99589
"1133",0.376066
"1134",0.439886
"1135",0.569133
"1136",0.123473
"1137",0.64874
"1138",0.354671
"1139",0.519386
"1140",0.433442
"1141",0.309272
"1142",0.927986
"1143",0.812534
"1144",0.805785
"1145",0.818762
"1146",0.797348
"1147",0.411213
"1148",0.633375
"1149",0.361094
"1150",0.35434
"1151",0.213673
"1152",0.264263
"1153",0.478947
"1154",0.365804
"1155",0.555894
"1156",0.43165
"1157",0.467928
"1158",0.282488
"1159",0.783531
"1160",0.194865
"1161",0.775363
"1162",0.198126
"1163",0.459738
"1164",0.181855
"1165",0.308602
"1166",0.216968
"1167",0.655735
"1168",0.415817
"1169",0.608934
"1170",0.189083
"1171",0.494296
"1172",0.476127
"1173",0.411025
"1174",0.334481
"1175",0.400665
"1176",0.998162
"1177",0.817173
"1178",0.800909
"1179",0.586607
"1180",0.235701
"1181",0.213673
"1182",0.564158
"1183",0.269377
"1184",0.452373
"1185",0.414173
"1186",0.294244
"1187",0.578169
"1188",0.514363
"1189",0.439804
"1190",0.913515
"1191",0.358403
"1192",0.144076
"1193",0.274973
"1194",0.42306
"1195",0.510515
"1196",0.182023
"1197",0.883525
"1198",0.408956
"1199",0.849863
"1200",0.781321
"1201",0.178235
"1202",0.25212
"1203",0.549537
"1204",0.322209
"1205",0.428239
"1206",0.789629
"1207",0.465703
"1208",0.300453
"1209",0.97419
"1210",0.524375
"1211",0.490156
"1212",0.648767
"1213",0.338829
"1214",0.637949
"1215",0.293143
"1216",0.341917
"1217",0.321297
"1218",0.586204
"1219",0.66964
"1220",0.306743
"1221",0.876106
"1222",0.178235
"1223",0.493064
"1224",0.628644
"1225",0.932498
"1226",0.416921
"1227",0.40461
"1228",0.507189
"1229",0.500738
"1230",0.310466
"1231",0.542503
"1232",0.416437
"1233",0.824694
"1234",0.386069
"1235",0.482448
"1236",0.405475
"1237",0.822787
"1238",0.633568
"1239",0.560235
"1240",0.349066
"1241",0.35324
"1242",0.697773
"1243",0.448558
"1244",0.379941
"1245",0.880946
"1246",0.925545
"1247",0.321158
"1248",0.927404
"1249",0.306051
"1250",0.308328
"1251",0.240843
"1252",0.315925
"1253",0.474184
"1254",0.467551
"1255",0.32986
"1256",0.39144
"1257",0.425204
"1258",0.8051
"1259",0.264646
