"","x","y"
"244",4.03357,7.72956
"245",2.75619,8.83141
"246",10.1853,9.95821
"247",2.29382,1.53211
"248",4.00119,10.941
"249",2.19069,4.17345
"250",2.30307,0.903088
"251",4.42211,0.693405
"252",0.689281,9.62791
"253",2.96488,9.21141
"254",8.18385,8.5512
"255",3.8674,10.0032
"256",4.56855,3.27325
"257",0.986266,10.0571
"258",6.99818,8.64142
"259",3.41038,5.9628
"260",2.05458,1.80375
"261",3.23986,1.01198
"262",11.0864,2.9549
"263",6.53979,6.7403
"264",8.92643,10.1391
"265",6.68902,6.5456
"266",3.04891,8.05521
"267",5.68965,1.22265
"268",1.60714,8.69367
"269",0.967917,7.8431
"270",5.47512,1.12709
"271",9.00333,11.4453
"272",1.03152,0.820322
"273",6.3051,5.76259
"274",10.7465,3.01076
"275",0.95431,2.09486
"276",9.82033,11.3501
"277",7.49381,3.77575
"278",5.23601,6.46164
"279",7.18987,5.77891
"280",4.62168,2.15311
"281",6.0944,7.77216
"282",4.69493,9.27341
"283",2.96368,2.23307
"284",8.56744,4.49238
"285",0.846421,5.35927
"286",9.07434,10.8304
"287",6.732,8.94628
"288",5.61108,6.99069
"289",1.11886,3.55236
"290",11.3155,3.14717
"291",6.65204,5.488
"292",6.86069,11.1263
"293",10.0834,10.3861
"294",1.98001,11.0187
"295",11.1816,11.1247
"296",6.38996,6.55714
"297",6.85422,1.97459
"298",4.01495,11.3956
"299",1.84492,8.81996
"300",8.99047,1.02363
"301",7.98839,6.93066
"302",1.14271,1.13885
"303",1.18808,7.85191
"304",10.0375,2.73522
"305",4.23882,2.30159
"306",1.90056,7.34103
"307",7.89797,6.58367
"308",9.4759,5.54907
"309",2.15889,0.585739
"310",8.68593,6.40217
"311",10.9975,10.1582
"312",6.53307,1.65559
"313",7.26516,11.1444
"314",5.80137,8.88548
"315",1.71061,11.4397
"316",2.03474,7.61752
"317",3.67137,4.33578
"318",11.2337,11.4617
"319",1.90864,6.41733
"320",11.3986,5.94422
"321",7.43843,10.0182
"322",10.0148,7.05963
"323",4.00339,8.87551
"324",5.5724,2.11782
"325",0.886759,2.04557
"326",1.39411,9.78289
"327",8.92228,11.0464
"328",4.06659,2.8693
"329",6.36848,9.73398
"330",6.3278,11.1471
"331",11.2037,1.04865
"332",10.3043,6.76451
"333",8.59659,1.01602
"334",1.41933,7.34096
"335",4.98452,2.77954
"336",4.48392,9.19771
"337",0.981681,3.68069
"338",1.77647,1.56488
"339",3.22873,0.739035
"340",5.53977,2.16817
"341",0.921623,11.1308
"342",0.902321,5.93527
"343",9.01793,8.96511
"344",10.4249,8.99349
"345",3.15014,1.25571
"346",1.95845,0.900169
"347",4.14006,5.14739
"348",3.12756,6.70124
"349",4.01486,3.13884
"350",6.92258,6.86125
"351",6.34913,4.55392
"352",2.81251,6.7283
"353",10.9402,5.36608
"354",5.932,4.22113
"355",1.76727,4.36232
"356",6.66253,8.88904
"357",3.2066,6.42781
"358",4.68729,4.14755
"359",4.12346,3.02321
"360",8.00174,9.02662
"361",4.44868,0.810453
"362",11.3456,6.88929
"363",0.876643,3.44035
"364",9.03523,3.77951
"365",11.0162,7.70841
"366",10.1347,4.54897
"367",10.159,7.08016
"368",4.87699,10.1319
"369",5.60401,11.0787
"370",5.60972,6.90724
"371",1.15538,3.47976
"372",3.5454,9.99135
"373",6.43253,2.73695
"374",8.97633,3.48266
"375",9.98361,0.902132
"376",2.86845,6.18144
"377",7.3224,7.78596
"378",6.2189,5.57778
"379",0.911401,8.95945
"380",2.94884,10.9739
"381",1.05723,6.6182
"382",5.36825,9.76737
"383",5.169,6.86147
"384",2.79599,11.3233
"385",4.38301,1.19321
"386",2.22164,0.839106
"387",8.73929,4.57786
"388",0.568979,4.33959
"389",10.3674,2.36943
"390",8.4293,5.6446
"391",8.50583,5.70281
"392",10.9584,2.16024
"393",8.08568,0.975456
"394",1.22663,3.61766
"395",5.44959,3.42372
"396",1.73082,5.5127
"397",6.28521,7.85525
"398",10.469,3.62565
"399",8.51297,6.03884
"400",0.986133,10.9819
"401",2.98649,3.5471
"402",7.64275,4.44836
"403",1.01808,4.32401
"404",1.88422,4.59517
"405",9.041,8.94993
"406",2.00865,7.88333
"407",2.81003,5.48317
"408",2.16483,5.35262
"409",2.92893,2.67806
"410",6.89565,1.92898
"411",5.4141,0.840426
"412",10.9323,10.1114
"413",9.80639,0.82183
"414",10.0906,2.09634
"415",8.39725,0.933619
"416",5.22444,2.33847
"417",1.50347,5.11122
"418",2.69509,4.57207
"419",7.84608,7.58581
"420",3.3317,0.781334
"421",11.3348,10.1096
"422",0.63724,1.02495
"423",3.33707,7.96178
"424",2.32242,7.42578
"425",7.11772,11.2399
"426",8.2918,6.8083
"427",7.45776,10.0523
"428",8.08282,0.655108
"429",0.906349,9.81399
"430",2.88429,8.96659
"431",8.34933,0.573868
"432",11.3011,7.8994
"433",9.0404,3.46783
"434",10.0271,8.9106
"435",0.634866,6.91434
"436",10.2882,11.0632
"437",1.22489,9.77189
"438",5.54405,3.61613
"439",4.9902,4.26457
"440",7.80245,1.9433
"441",11.1199,5.51444
"442",8.13228,11.3772
"443",11.3048,8.04647
"444",8.44255,2.08366
"445",11.3906,3.9886
"446",3.82386,9.95668
"447",3.41988,10.1806
"448",11.0629,6.6294
"449",8.07045,8.62849
"450",7.55628,7.56489
"451",7.77539,7.85479
"452",6.35396,5.44766
"453",5.30931,5.52436
"454",5.53779,0.859931
"455",5.95663,1.09195
"456",5.49622,2.15407
"457",7.5403,9.85122
"458",3.38429,11.1481
"459",4.35252,11.3659
"460",9.22023,9.07982
"461",9.05297,6.43963
"462",9.85967,5.52403
"463",8.81405,7.88017
"464",11.0332,2.01581
"465",5.73538,4.39209
"466",10.3896,6.63193
"467",8.55381,3.06055
"468",4.46198,9.51355
"469",0.704572,0.563359
"470",10.2049,8.01364
"471",6.59491,11.1568
"472",10.6384,4.83538
"473",8.16244,4.73861
"474",6.59026,7.59456
"475",2.36449,1.73748
"476",5.58513,1.12087
"477",5.36718,5.16734
"478",11.258,11.3894
"479",6.45084,2.86194
"480",0.62713,4.49465
"481",9.86893,1.03131
"482",5.52158,3.28971
"483",10.4497,4.5499
"484",1.17933,3.35673
"485",10.798,6.99031
"486",2.80976,5.11755
"487",2.94331,5.38037
"488",3.12871,10.9886
"489",9.7943,0.976796
"490",10.2506,8.88583
"491",11.1295,0.784174
"492",2.04207,0.995216
"493",10.2988,1.70767
"494",8.05421,2.44569
"495",0.823627,9.18904
